jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village
168817,K.K HUNDI,CHAMARAJANAGARA,Gundlupet,65107,KODASOGE,924977,KADTALKATTIHUNDI
168912,KURUBARAHUNDI,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,924985,KURUBARA HUNDI
168835,MALLAMMANAHUNDI,CHAMARAJANAGARA,Gundlupet,65110,Kelasur,924974,MALLAMMANA HUNDI
168992,PONNACHI,CHAMARAJANAGARA,Hanuru,65148,PONNACHI,619885,Ponnachi
168826,RANGANATHAPURA,CHAMARAJANAGARA,Gundlupet,65108,NITRE,925001,RANGANATHAPURA
693318,RANGASANDRA,CHAMARAJANAGARA,Chamarajanagar,65080,PUNAJANURU,924919,RANGASANDRA
636936,RANGUPURA,CHAMARAJANAGARA,Gundlupet,65130,HOREYALA,924963,RANGUPURA
702834,SARAGURMOLE,CHAMARAJANAGARA,Chamarajanagar,65075,ALUR,924546,SARAGURMOLE
702835,YDIYOORU,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,924901,YDIYOORU
147737,BARIMALE ESTATE,CHIKKAMAGALURU,Mudigere,61317,TRIPURA,609937,Barimale Estate
146901,BASURU KAVAL,CHIKKAMAGALURU,Kadur,61183,BASUR,609409,Basurukaval
146654,CHIKKA KALASAPURA,CHIKKAMAGALURU,Chikkamagaluru,61132,KALASAPURA,609794,Chikkakalasapura
147430,HEBBE,CHIKKAMAGALURU,Narasimharajapura,61253,Honnekudige ( Hanthuvine),609074,Hebbe
596550,KACHAPURA,CHIKKAMAGALURU,Kadur,61234,KADURHALLI,609508,Kachapura
665727,SHAKUNIPURA,CHIKKAMAGALURU,Kadur,61192,EMMEDODDI,609383,Shankunipura
665620,CHANNABYRENAHALLY,Chikkaballapura,Gauribidanur,62563,Chikkakurugodu,623386,Chennabyrenahalli
664989,CHITTAVALAHALLI,Chikkaballapura,Gauribidanur,62589,MELYA,925729,CHITTAVALAHALLY
664995,DEVARAKODAHHALLI,Chikkaballapura,Gauribidanur,62573,HALEHALLY,925692,DEVARAKONDAHALLY
664984,DIGAVAKOTE,Chikkaballapura,Chintamani,62529,PEDDUR,925610,DIGAVAKOTE
154721,GANDAMNAGENAHAIIY,Chikkaballapura,Gudibanda,62600,BEECHAGANAHALLY,926149,GANDAMNAGENAHALLY(M)
664513,GARUDACHARLAHALLY,Chikkaballapura,Gudibanda,62606,HAMPASANDRA,925928,GARUDACHARLAHALLY
665075,MIDDILU,Chikkaballapura,Gauribidanur,62586,B.BOMMASANDRA,925641,MIDDILU
664864,MUSTURUPATNA,Chikkaballapura,Chintamani,62533,Batlahalli,926136,MUSTURUPATNA
664535,THEELAKUNTAHALLY,Chikkaballapura,Gudibanda,62602,Varlakonda,926181,THEELAKUNTAHALLY(M)
665134,VANTURU,Chikkaballapura,Sidlaghatta,62720,Basettyhalli,926191,VANTURU
663933,Ajadnagara,Chitradurga,Chitradurga,65238,Kalagere,927373,AJADNAGARA
