state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name,name_match_shrug_id,name_match_shrug_name,name_match_type,name_match_score,final_shrug_id,final_shrug_name,match_method
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665470,Kodigehalli Harijana Colony,612821,Thirumalapura,Bengaluru Urban,Bengaluru Urban.xls,320,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,703119,KUMBALAGODU,613062,KUMBALAGODU,Bengaluru Urban,Bengaluru Urban.xls,342,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,YELAHANKA,61388,KASAGATTAPURA,700202,LINGARAJASAGARA,612874,LINGARAJASAGARA,Bengaluru Urban,Bengaluru Urban.xls,358,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru North,273464,Kadabagere,665311,Mahimmannanapalya,939417,BOGENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,372,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru South,61440,Choolanayakanahalli,665502,Metipalya,938487,VASANTAPURA,Bengaluru Urban,Bengaluru Urban.xls,408,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru South,259828,H. Gollahalli,665639,Nagegowdanapalya,939480,DASARAHALLI,Bengaluru Urban,Bengaluru Urban.xls,428,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,665392,Parvathaiahana Palya,939411,BANGALORE,Bengaluru Urban,Bengaluru Urban.xls,448,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru South,61412,Kagglipura,665227,Pattareddipalya,938489,BIKASHIPURA,Bengaluru Urban,Bengaluru Urban.xls,450,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,665380,Pitaganapalya,939414,BARAGI MUDDENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,453,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru North,61374,Alur,665211,Pylvanarapalya,939407,AKKITHIMMANAHALLI,Bengaluru Urban,Bengaluru Urban.xls,458,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,YELAHANKA,61393,BAGALUR,665209,RAJAKSABPALYA,938541,AMRUTAHALLI,Bengaluru Urban,Bengaluru Urban.xls,463,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru South,61412,Kagglipura,665230,Saalu Hunase,938430,BILEKAHALLI,Bengaluru Urban,Bengaluru Urban.xls,481,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Anekal,61344,Hulimangala,665581,Shikaripalya,938194,KUDLU,Bengaluru Urban,Bengaluru Urban.xls,504,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,148479,Subbarayappanapalya,938444,VALAGERAHALLI,Bengaluru Urban,Bengaluru Urban.xls,526,,,,,,,,,,,,,,unmatched
Karnataka,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,665249,YADIYOORU,925868,YADIYOORU,Bengaluru Urban,Bengaluru Urban.xls,584,,,,,,,,,,,,,,unmatched
Karnataka,Bidar,Bidar,60862,Aliabad (j),693388,ALIABAD (J),600256,ALIABAD (J),Bidar,Bidar.xls,5,,,,,,,,,,,,,,unmatched
Karnataka,Bidar,Bidar,60861,Kolar (k),588457,Hajjargi,923711,HAJJARAGI,Bidar,Bidar.xls,187,,,,,,,,,,,,,,unmatched
Karnataka,Bidar,Humnabad,60902,Hallikhed (k),664831,Hallikhed(k) Wadi,923715,HALLIKHED(K) WADI,Bidar,Bidar.xls,198,,,,,,,,,,,,,,unmatched
Karnataka,Bidar,Basavakalyan,60788,GUNDUR,664875,JAFARWADI,923683,JAFFARWADI,Bidar,Bidar.xls,245,,,,,,,,,,,,,,unmatched
Karnataka,Bidar,Bhalki,60838,Shivani,665016,Kasartugaon Wadi,599860,Kasara Tugaon Wadi,Bidar,Bidar.xls,298,,,,,,,,,,,,,,unmatched
Karnataka,Bidar,Chittaguppa,60872,BEMALKHEDA,693389,VITHALPUR,925916,VITHALPUR,Bidar,Bidar.xls,571,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65066,UDIGALA,693319,CIKKEMPIHUNDI,924932,CIKKEMPIHUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,98,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Gundlupet,65131,AGATHAGOWDANAHALLI,652731,DHADADHAHALLI,917623,Dhadadhahalli,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,111,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65091,Kudluru,168753,DODDARAYAPET,924892,DODDARAYAPETE,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,117,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Gundlupet,65126,Kannegala,664576,GOPALAPURA,924967,GOPAALAPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,130,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,168910,HONAKANAPURA,619452,Bhogganapura,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,163,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Gundlupet,65107,KODASOGE,168817,K.K HUNDI,924977,KADTALKATTIHUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,192,,,,,,,,,,,,,,unmatched
