match_score,match_method,jjm_village,lgd_village,shrug_village,shrug_place,jjm_district,shrug_district,jjm_block,shrug_subdistrict,jjm_panchayat,jjm_village_id,lgd_village_id,jjm_panchayat_id,shrid2
84.21052631578947,fuzzy,Megalahatti,MEGALAHATTI,megalahalli,megalahalli,Chitradurga,chitradurga,Molakalmuru,chitradurga,Hangal,664078,927424,65357,11-29-566-05505-605551
82.35294117647058,fuzzy,Myasarahatti,MYASARAHATTI,mayasandra,mayasandra,Chitradurga,chitradurga,Molakalmuru,hiriyur,Rayapura,664099,927396,65355,11-29-566-05508-606133
77.77777777777779,fuzzy,Rangyanauru,RANGYANAURU,ranganathapura,ranganathapura,Chitradurga,chitradurga,Hosdurga,hiriyur,Mallappanahalli,663923,927532,65319,11-29-566-05508-606169
81.81818181818181,fuzzy,S H Halli Gollarhatti,S.H.HALLI GOLLARHATTI,mallaurahatti,mallaurahatti,Chitradurga,chitradurga,Holalkere,challakere,Gungiganur,663690,927663,65333,11-29-566-05504-605243
80.0,fuzzy,T.Upparatti,Upparatti,upparigenahalli,upparigenahalli,Chitradurga,chitradurga,Chitradurga,holalkere,Turuvanur,663991,605502,65227,11-29-566-05506-605814
82.75862068965517,fuzzy,ULLAVARTHI KAVAL,ULLAVARTHI KAVAL,chikkatekalavatti kaval,chikkatekalavatti kaval,Chitradurga,chitradurga,Challakere,hosdurga,Doddaullarthi,169099,605307,65185,11-29-566-05507-606029
80.0,fuzzy,Kemminje,Kemminje (Rural),elinje,elinje,Dakshina Kannada,dakshina kannada,Puttur,mangalore,Munduru,148816,617734,61602,11-29-575-05561-617440
83.33333333333334,fuzzy,Kuttethuru,Kuthethur (OG),elathur,elathur,Dakshina Kannada,dakshina kannada,Mangaluru,mangalore,Permude,148738,617522,61560,11-29-575-05561-617439
80.0,fuzzy,MOOLUR,Mulur (CT),kollur,kollur,Dakshina Kannada,dakshina kannada,Mangaluru,mangalore,Gurupura,674434,617507,236264,11-29-575-05561-617429
76.92307692307692,fuzzy,Didagur,Didagur,nibagur,nibagur,Davangere,davanagere,Honnali,jagalur,Haralahalli,168015,606827,64823,11-29-567-05511-606527
83.33333333333334,fuzzy,Taralabalunagara,TARALABALUNAGAR,naganur,naganur,Davangere,davanagere,Davanagere,davanagere,Belavanuru,664230,924654,64655,11-29-567-05512-606565
83.33333333333334,fuzzy,Chikkakondagola,Chikkakondagola(Part),chikkur,chikkur,Hassan,hassan,Hassan,arsikere,Tejur,152772,616046,62307,11-29-574-05555-615669
83.33333333333334,fuzzy,bhankur,Bhankur (OG),bhankalga,bhankalga,Kalaburagi,gulbarga,Shabad,afzalpur,Bhankor,637324,620714,61876,11-29-579-05581-620102
76.92307692307692,fuzzy,BEERUGA,BEERUGA,nerugalale,nerugalale,Kodagu,kodagu,Ponnampet,somvarpet,SRIMANGALA,661894,924064,62461,11-29-576-05567-617943
75.0,fuzzy,CHENNANGI,CHENNANGI,cherangala,cherangala,Kodagu,kodagu,Virajpet,madikeri,Chennayanakote,702204,924040,62449,11-29-576-05566-617795
78.26086956521739,fuzzy,CHIKKA ALUVARA,CHIKKA ALUVARA,chikka tholur,chikka tholur,Kodagu,kodagu,Kushalanagar,somvarpet,Torenur,661862,924016,62421,11-29-576-05567-617925
80.0,fuzzy,GUDDEHOSURU,GUDDEHOSURU,kasuru,kasuru,Kodagu,kodagu,Kushalanagar,somvarpet,GUDDEHOSUR,661828,923977,62416,11-29-576-05567-617860
80.0,fuzzy,Hudur,Hudur,ist kudlur,ist kudlur,Kodagu,kodagu,Ponnampet,somvarpet,PONNAMPET,695841,924028,62468,11-29-576-05567-617872
83.33333333333334,fuzzy,Sanivarsanthe,HOSAHALLI ( SHANIVARASANTHE HOBLI),agalli,agalli,Kodagu,kodagu,Somvarpet,somvarpet,Shanivarasanthe,153385,939272,62397,11-29-576-05567-617877
78.26086956521739,fuzzy,SIDDALINGAPURA,SIDDALINGAPURA,siddapura,siddapura,Kodagu,kodagu,Kushalanagar,virajpet,Torenur,661864,924018,62421,11-29-576-05568-618027
