jjm_village_id,jjm_village,jjm_district,lgd_village_id,matched_shrug_id,matched_shrug_name,matched_shrug_district,match_type,match_score
157896,Hirehalli,Mysuru,619016,618872,hirehalli,mysore,exact_name,100.0
158548,Hosakote,Mysuru,618688,618351,hosakote,mysore,exact_name,100.0
158692,Kallahalli,Mysuru,619167,618342,kallahalli,mysore,exact_name,100.0
158687,Karlapura,Mysuru,619169,619255,karlapura,mysore,exact_name,100.0
158482,Madapura,Mysuru,618807,618316,madapura,mysore,exact_name,100.0
158862,Muddanahalli,Mysuru,618291,618970,muddanahalli,mysore,exact_name,100.0
699918,NAGLAPUR,Raichur,600575,600846,naglapur,raichur,exact_name,100.0
665771,Hosur,Shivamogga,608315,607273,hosur,shimoga,exact_name,100.0
160937,Kerodi,Shivamogga,925367,607207,kerodi,shimoga,exact_name,100.0
161296,Mullakere,Shivamogga,925131,607224,mullakere,shimoga,exact_name,100.0
160903,Padavagodu,Shivamogga,925366,607205,padavagodu,shimoga,exact_name,100.0
665407,Sannamane,Shivamogga,925024,607632,sannamane,shimoga,exact_name,100.0
586142,BYRAPURA,TUMAKURU,610930,610129,byrapura,tumkur,exact_name,100.0
162138,DASIHALLI,TUMAKURU,610205,610080,dasihalli,tumkur,exact_name,100.0
163204,DODDENAHALLI,TUMAKURU,610917,610546,doddenahalli,tumkur,exact_name,100.0
163244,LAKSHMIPURA,TUMAKURU,610822,610051,lakshmipura,tumkur,exact_name,100.0
163532,NARASIPURA,TUMAKURU,610298,611355,narasipura,tumkur,exact_name,100.0
164779,Kumbarkop,Uttara Kannada,602756,602813,kumbarkop,uttara kannada,exact_name,100.0
164790,Malwadi,Uttara Kannada,602799,602869,malwadi,uttara kannada,exact_name,100.0
146110,TIKOTA,VIJAYAPURA,939739,599056,tikota,bijapur,exact_name,100.0
589480,SHAKHAPUR,Yadgir,621066,620923,shakhapur,yadgir,exact_name,100.0
142797,BANAHALLY,BENGALURU RURAL,625675,613243,banahalli,bangalore,fuzzy_name,88.88888888888889
594616,CHIKKAMARALLI,BENGALURU RURAL,910246,612904,chikkanahalli,bangalore,fuzzy_name,84.61538461538461
142356,G.HOSAHALLY,BENGALURU RURAL,625320,613181,hosahalli,bangalore,fuzzy_name,84.21052631578947
142491,MUTHUKADAHALLY,BENGALURU RURAL,625067,625528,muthukadahalli,bangalore rural,fuzzy_name,92.85714285714286
142316,NAGENAHALLY,BENGALURU RURAL,910258,625229,nagenahalli,bangalore rural,fuzzy_name,90.9090909090909
664350,Chikkahanchinal Puk,Bagalkote,598509,598477,chickhanchinal,bagalkot,fuzzy_name,89.65517241379311
141504,HIREMURAMATTI,Bagalkote,598809,598808,chikkmuramatti,bagalkot,fuzzy_name,81.4814814814815
588589,Lingapur Sr Rc,Bagalkote,598507,598513,lingapur s k,bagalkot,fuzzy_name,86.95652173913044
141749,Mamatageri,Bagalkote,598704,599024,maratgeri,bagalkot,fuzzy_name,84.21052631578947
702878,GIRENAHALLI,Ballari,924424,604722,nagenahalli,bellary,fuzzy_name,81.81818181818181
143751,Benakanahalli,Belagavi,597799,597633,benakanholi,belgaum,fuzzy_name,83.33333333333334
143707,Gaundawad,Belagavi,597691,597384,gundwad,belgaum,fuzzy_name,87.5
143839,Hanchinal K.k.,Belagavi,597236,597122,hanchinal k s,belgaum,fuzzy_name,88.0
144446,Hidkal,Belagavi,597617,597402,hidakal,belgaum,fuzzy_name,92.3076923076923
664341,Hunnur,Belagavi,939177,597158,kunnur,belgaum,fuzzy_name,83.33333333333334
143709,Kakati,Belagavi,597792,598012,karikatti,belgaum,fuzzy_name,80.0
143726,Kolikoppa,Belagavi,597777,598126,korvikoppa,belgaum,fuzzy_name,84.21052631578947
662242,LAXMESHWAR,Belagavi,597494,597523,lakshmeshwar,belgaum,fuzzy_name,81.81818181818181
664305,Majati,Belagavi,923726,597229,majalatti,belgaum,fuzzy_name,80.0
144580,Mattikoppa,Belagavi,598039,598076,dastikoppa,belgaum,fuzzy_name,80.0
143767,Shindolli,Belagavi,597766,597940,shindholli,belgaum,fuzzy_name,94.73684210526316
144408,Yakkundi,Belagavi,598229,598045,lakkundi,belgaum,fuzzy_name,87.5
665302,Chikkagollarahatti,Bengaluru Urban,938346,625263,chikkagollahalli,bangalore rural,fuzzy_name,82.35294117647058
148335,Devegere,Bengaluru Urban,939479,613034,devagere,bangalore,fuzzy_name,87.5
665288,Doddapalya,Bengaluru Urban,939406,612899,doddajala,bangalore,fuzzy_name,84.21052631578947
665474,Gangadipura,Bengaluru Urban,938343,625604,gangapura,bangalore rural,fuzzy_name,90.0
148227,GOPALPURA,Bengaluru Urban,938533,612749,gopalapura,bangalore,fuzzy_name,94.73684210526316
148483,Gururayanapura,Bengaluru Urban,939493,613001,kolur gururayanapura,bangalore,fuzzy_name,82.35294117647058
148320,H. Gollahalli,Bengaluru Urban,938480,612923,gollahalli,bangalore,fuzzy_name,90.9090909090909
665254,KADAYARAPPANAHALLI,Bengaluru Urban,612918,612795,kadaranahalli,bangalore,fuzzy_name,83.87096774193549
665471,Kannahalli Hosahalli,Bengaluru Urban,939475,613345,kaval hosahalli,bangalore,fuzzy_name,80.0
147863,Menaseganahalli,Bengaluru Urban,939404,613333,menasiganahalli,bangalore,fuzzy_name,93.33333333333333
665199,Puttaiahnapalya,Bengaluru Urban,938417,612996,muddaiahnapalya,bangalore,fuzzy_name,80.0
145757,Bompalli,Bidar,600124,600304,borampalli,bidar,fuzzy_name,88.88888888888889
595076,Methi Melkunda Wadi,Bidar,599875,599874,methimelkunda,bidar,fuzzy_name,81.25
665650,HALEPURA,CHAMARAJANAGARA,917361,619578,hullepura,chamarajanagar,fuzzy_name,82.35294117647058
168912,KURUBARAHUNDI,CHAMARAJANAGARA,924985,619711,kumbaragundi,chamarajanagar,fuzzy_name,80.0
702834,SARAGURMOLE,CHAMARAJANAGARA,924546,619852,alagumole,chamarajanagar,fuzzy_name,80.0
596546,BANANAHALLI,CHIKKAMAGALURU,609618,609570,banannahalli,chikmagalur,fuzzy_name,95.65217391304348
147620,BASAVANAHLLI,CHIKKAMAGALURU,609153,609119,basavanahalli,chikmagalur,fuzzy_name,96.0
147594,BELI BASAVANAHALLI,CHIKKAMAGALURU,609211,609558,b basavanahalli,chikmagalur,fuzzy_name,90.9090909090909
147515,CHEERANAHALLI,CHIKKAMAGALURU,609270,609539,cheelanahalli,chikmagalur,fuzzy_name,92.3076923076923
596550,KACHAPURA,CHIKKAMAGALURU,609508,624633,rachapura,chikkaballapura,fuzzy_name,88.88888888888889
664450,MALLIGENAHALLI,CHIKKAMAGALURU,939544,609185,mallenahalli,chikmagalur,fuzzy_name,92.3076923076923
700122,S. BIDARE,CHIKKAMAGALURU,609662,609661,s bidre,chikmagalur,fuzzy_name,93.33333333333333
665727,SHAKUNIPURA,CHIKKAMAGALURU,609383,609120,shanthipura,chikmagalur,fuzzy_name,81.81818181818181
664465,SRIRAMPURA,CHIKKAMAGALURU,917153,609306,sriramapura,chikmagalur,fuzzy_name,95.23809523809523
697144,V. SIDDARAHALLI,CHIKKAMAGALURU,609647,609152,siddarahalli,chikmagalur,fuzzy_name,92.3076923076923
147037,YAREHALLY,CHIKKAMAGALURU,609374,609354,yarehalli,chikmagalur,fuzzy_name,88.88888888888889
154725,BALENAHALLI,Chikkaballapura,926148,609767,balenahalli,chikmagalur,fuzzy_name,100.0
154236,BANDARLAHALLY,Chikkaballapura,624451,623284,bandarlahalli,chikkaballapura,fuzzy_name,92.3076923076923
664874,BATTALAPURA,Chikkaballapura,624317,609178,vittalapura,chikmagalur,fuzzy_name,81.81818181818181
664505,BHATHALAHALLY,Chikkaballapura,926178,623722,bathalahalli,chikkaballapura,fuzzy_name,88.0
665043,BINGANAHALLI,Chikkaballapura,925621,609885,bigganahalli,chikmagalur,fuzzy_name,91.66666666666666
155890,BRAHMANARAHALLY,Chikkaballapura,926195,623720,brahmanarahalli,chikkaballapura,fuzzy_name,93.33333333333333
155748,BUDUGAVARAHALLI,Chikkaballapura,917253,624639,badagavarahalli,chikkaballapura,fuzzy_name,86.66666666666667
154100,BYARANAYAKANAHALLI,Chikkaballapura,939386,624207,byranaikanahalli,chikkaballapura,fuzzy_name,88.23529411764706
155756,CHANDAGANAHALLI,Chikkaballapura,925947,624502,gandraganahalli,chikkaballapura,fuzzy_name,86.66666666666667
665620,CHANNABYRENAHALLY,Chikkaballapura,623386,609385,channenahalli,chikmagalur,fuzzy_name,80.0
665045,CHIKKAKONDRAHALLI,Chikkaballapura,925623,623601,chikkanahalli,chikkaballapura,fuzzy_name,86.66666666666667
664989,CHITTAVALAHALLI,Chikkaballapura,925729,623282,mattavalahalli,chikkaballapura,fuzzy_name,82.75862068965517
594771,DASARENAHALLY,Chikkaballapura,623360,623501,dasarenahalli,chikkaballapura,fuzzy_name,92.3076923076923
664966,DASARLAHALLI,Chikkaballapura,926203,609722,dasarahalli,chikmagalur,fuzzy_name,95.65217391304348
664995,DEVARAKODAHHALLI,Chikkaballapura,925692,608965,devarahalli,chikmagalur,fuzzy_name,81.4814814814815
664984,DIGAVAKOTE,Chikkaballapura,925610,624438,yegavakote,chikkaballapura,fuzzy_name,80.0
665003,DINNEHUNASENAHALLI,Chikkaballapura,925730,623271,hunasenahalli,chikkaballapura,fuzzy_name,83.87096774193549
154485,GUNTHUR GADDE,Chikkaballapura,624453,624436,gunthurugadde,chikkaballapura,fuzzy_name,92.3076923076923
154090,JADALATHIMMANAHALLY,Chikkaballapura,623550,623627,jadalathimmanahalli,chikkaballapura,fuzzy_name,94.73684210526316
665036,JAGAREDDYHALLI,Chikkaballapura,925731,623327,jogireddyhalli,chikkaballapura,fuzzy_name,85.71428571428572
154563,JARABANDANAHALLY,Chikkaballapura,623238,623404,jarabandahalli,chikkaballapura,fuzzy_name,86.66666666666667
665044,KADACHIKKANAHALLI,Chikkaballapura,925694,623601,chikkanahalli,chikkaballapura,fuzzy_name,86.66666666666667
154629,KAMBALAHALLY,Chikkaballapura,925646,623368,kambalahalli,chikkaballapura,fuzzy_name,91.66666666666666
154829,MACHAHALLI,Chikkaballapura,926155,609790,machenahalli,chikmagalur,fuzzy_name,90.9090909090909
154778,MADDAREDDIHALLI,Chikkaballapura,926211,624654,imareddihalli,chikkaballapura,fuzzy_name,85.71428571428572
154743,MINCHANAHALLI,Chikkaballapura,926171,624321,minchalahalli,chikkaballapura,fuzzy_name,92.3076923076923
154246,NALLAGUTLAHALLY,Chikkaballapura,624454,624417,nallagutlahalli,chikkaballapura,fuzzy_name,93.33333333333333
154489,PULAGUNDLAHALLY,Chikkaballapura,624404,624441,puligundlahalli,chikkaballapura,fuzzy_name,86.66666666666667
664865,RAGIMAKALAHALLY,Chikkaballapura,926137,623591,ragimakalahalli,chikkaballapura,fuzzy_name,93.33333333333333
154358,THIPPANAHALLY,Chikkaballapura,624559,624541,thippanahalli,chikkaballapura,fuzzy_name,92.3076923076923
665134,VANTURU,Chikkaballapura,926191,610002,hanthuru,chikmagalur,fuzzy_name,80.0
663983,Avalenahalli,Chitradurga,605499,605242,kavalanahalli,chitradurga,fuzzy_name,88.0
664102,B Hanumapura,Chitradurga,927436,605998,banapura,chitradurga,fuzzy_name,80.0
663984,Bangarakkanahalli,Chitradurga,605497,605925,benakanahalli,chitradurga,fuzzy_name,80.0
589269,DONEHALL I,Chitradurga,605316,605321,donehalli,chitradurga,fuzzy_name,94.73684210526316
663922,Ganjigatti,Chitradurga,927369,605625,ganjigatte,chitradurga,fuzzy_name,90.0
663777,Hanumanahalli,Chitradurga,927174,605279,hanumanthanahalli,chitradurga,fuzzy_name,86.66666666666667
663853,Hunasekatee,Chitradurga,927490,605547,hunasekatte,chitradurga,fuzzy_name,90.9090909090909
663989,Kadambanakatte,Chitradurga,605500,605837,kadivanakatte,chitradurga,fuzzy_name,81.4814814814815
663818,KAMBHATHANAHALLI,Chitradurga,927542,605664,kamanahalli,chitradurga,fuzzy_name,81.4814814814815
169522,MEDHEHALLI,Chitradurga,605585,605753,edehalli,chitradurga,fuzzy_name,88.88888888888889
