pc11_shrid_id,shrid2,state_name,district_name,subdistrict_name,town_name,village_name,place_name,LGD_code,local_body_name,local_body_type,gp_to_urban_conversion,old_gp_lgd_code,old_gp_name,shrid_part_of_multi_village_GP
597114,11-29-555-05433-597114,karnataka,belgaum,chikodi,,hadnal,hadnal,215779,Appachiwadi,Gram Panchayat,No,NA,NA,Yes
597115,11-29-555-05433-597115,karnataka,belgaum,chikodi,,sulagaon,sulagaon,215779,Appachiwadi,Gram Panchayat,No,NA,NA,Yes
597116,11-29-555-05433-597116,karnataka,belgaum,chikodi,,mattiwade,mattiwade,215779,Appachiwadi,Gram Panchayat,No,NA,NA,Yes
597117,11-29-555-05433-597117,karnataka,belgaum,chikodi,,bhatnaganur,bhatnaganur,215813,Kurli,Gram Panchayat,No,NA,NA,Yes
597118,11-29-555-05433-597118,karnataka,belgaum,chikodi,,kurli,kurli,215813,Kurli,Gram Panchayat,No,NA,NA,Yes
597119,11-29-555-05433-597119,karnataka,belgaum,chikodi,,appachiwadi,appachiwadi,NA,Present in Shrug but Missing from LGD dataset,Present in Shrug but Missing from LGD dataset,NA,NA,NA,NA
597120,11-29-555-05433-597120,karnataka,belgaum,chikodi,,koganoli,koganoli,215810,Koganolli,Gram Panchayat,No,NA,NA,Yes
597121,11-29-555-05433-597121,karnataka,belgaum,chikodi,,hanabarawadi,hanabarawadi,215810,Koganolli,Gram Panchayat,No,NA,NA,Yes
597122,11-29-555-05433-597122,karnataka,belgaum,chikodi,,hanchinal k s,hanchinal k s,215776,Adi,Gram Panchayat,No,NA,NA,Yes
597123,11-29-555-05433-597123,karnataka,belgaum,chikodi,,benadi,benadi,215784,Benadi,Gram Panchayat,No,NA,NA,Yes
597124,11-29-555-05433-597124,karnataka,belgaum,chikodi,,bolewadi,bolewadi,215784,Benadi,Gram Panchayat,No,NA,NA,Yes
597125,11-29-555-05433-597125,karnataka,belgaum,chikodi,,akkol,akkol,215777,Akkol,Gram Panchayat,No,NA,NA,No
597126,11-29-555-05433-597126,karnataka,belgaum,chikodi,,padlihal,padlihal,215814,Lakhanapur,Gram Panchayat,No,NA,NA,Yes
597127,11-29-555-05433-597127,karnataka,belgaum,chikodi,,lakhanapur,lakhanapur,215814,Lakhanapur,Gram Panchayat,No,NA,NA,Yes
597128,11-29-555-05433-597128,karnataka,belgaum,chikodi,,jatrat,jatrat,215799,Jathrat,Gram Panchayat,No,NA,NA,No
597129,11-29-555-05433-597129,karnataka,belgaum,chikodi,,adi,adi,215776,Adi,Gram Panchayat,No,NA,NA,Yes
597130,11-29-555-05433-597130,karnataka,belgaum,chikodi,,bhivashi,bhivashi,215834,Soundalga,Gram Panchayat,No,NA,NA,Yes
597131,11-29-555-05433-597131,karnataka,belgaum,chikodi,,naganur,naganur,215839,Yamagarani,Gram Panchayat,No,NA,NA,Yes
597132,11-29-555-05433-597132,karnataka,belgaum,chikodi,,yamagarni,yamagarni,215839,Yamagarani,Gram Panchayat,No,NA,NA,Yes
597133,11-29-555-05433-597133,karnataka,belgaum,chikodi,,soundalga,soundalga,215834,Soundalga,Gram Panchayat,No,NA,NA,Yes
597134,11-29-555-05433-597134,karnataka,belgaum,chikodi,,budihal,budihal,215839,Yamagarani,Gram Panchayat,No,NA,NA,Yes
597135,11-29-555-05433-597135,karnataka,belgaum,chikodi,,kodni,kodni,215809,Kodani,Gram Panchayat,No,NA,NA,Yes
597136,11-29-555-05433-597136,karnataka,belgaum,chikodi,,gayakanawadi,gayakanawadi,215809,Kodani,Gram Panchayat,No,NA,NA,Yes
597137,11-29-555-05433-597137,karnataka,belgaum,chikodi,,shirguppi,shirguppi,215832,Shiraguppi,Gram Panchayat,No,NA,NA,Yes
597138,11-29-555-05433-597138,karnataka,belgaum,chikodi,,pangeri b,pangeri b,215832,Shiraguppi,Gram Panchayat,No,NA,NA,Yes
597139,11-29-555-05433-597139,karnataka,belgaum,chikodi,,budulmukh,budulmukh,215832,Shiraguppi,Gram Panchayat,No,NA,NA,Yes
597140,11-29-555-05433-597140,karnataka,belgaum,chikodi,,shendur,shendur,215829,Shendur,Gram Panchayat,No,NA,NA,Yes
597141,11-29-555-05433-597141,karnataka,belgaum,chikodi,,gondikuppi,gondikuppi,215829,Shendur,Gram Panchayat,No,NA,NA,Yes
597142,11-29-555-05433-597142,karnataka,belgaum,chikodi,,yarnal,yarnal,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597143,11-29-555-05433-597143,karnataka,belgaum,chikodi,,nippani rural,nippani rural,251809,Nipani,City Municipal Council,No,NA,NA,NA
597144,11-29-555-05433-597144,karnataka,belgaum,chikodi,,amalzari,amalzari,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597145,11-29-555-05433-597145,karnataka,belgaum,chikodi,,gavan,gavan,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597146,11-29-555-05433-597146,karnataka,belgaum,chikodi,,tavadi,tavadi,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597147,11-29-555-05433-597147,karnataka,belgaum,chikodi,,manakapur,manakapur,215817,Manakapur,Gram Panchayat,No,NA,NA,Yes
597148,11-29-555-05433-597148,karnataka,belgaum,chikodi,,kasanal,kasanal,215817,Manakapur,Gram Panchayat,No,NA,NA,Yes
597149,11-29-555-05433-597149,karnataka,belgaum,chikodi,,donewadi,donewadi,273233,Doniwadi,Gram Panchayat,No,NA,NA,Yes
597150,11-29-555-05433-597150,karnataka,belgaum,chikodi,,boragaon,boragaon,276583,Boragaon,Town Panchayat,No,NA,NA,NA
597151,11-29-555-05433-597151,karnataka,belgaum,chikodi,,boragaonwadi,boragaonwadi,273233,Doniwadi,Gram Panchayat,No,NA,NA,Yes
597152,11-29-555-05433-597152,karnataka,belgaum,chikodi,,sadalaga rural,sadalaga rural,251810,Sadalgi,Town Municipal Council,Yes,215815,Malikawad,Yes
597153,11-29-555-05433-597153,karnataka,belgaum,chikodi,,janwad,janwad,215798,Janwad,Gram Panchayat,No,NA,NA,No
597154,11-29-555-05433-597154,karnataka,belgaum,chikodi,,shiradwad,shiradwad,215830,Shiradawad,Gram Panchayat,No,NA,NA,No
597155,11-29-555-05433-597155,karnataka,belgaum,chikodi,,karadaga,karadaga,215805,Kardaga,Gram Panchayat,No,NA,NA,No
597156,11-29-555-05433-597156,karnataka,belgaum,chikodi,,barwad,barwad,215781,Barwad,Gram Panchayat,No,NA,NA,No
597157,11-29-555-05433-597157,karnataka,belgaum,chikodi,,mangur,mangur,215818,Mangur,Gram Panchayat,No,NA,NA,No
597158,11-29-555-05433-597158,karnataka,belgaum,chikodi,,kunnur,kunnur,215812,Kunnur,Gram Panchayat,No,NA,NA,Yes
597159,11-29-555-05433-597159,karnataka,belgaum,chikodi,,gajabarwadi,gajabarwadi,215812,Kunnur,Gram Panchayat,No,NA,NA,Yes
597160,11-29-555-05433-597160,karnataka,belgaum,chikodi,,shivapurawadi,shivapurawadi,215812,Kunnur,Gram Panchayat,No,NA,NA,Yes
597161,11-29-555-05433-597161,karnataka,belgaum,chikodi,,bhoj,bhoj,215785,Bhoj,Gram Panchayat,No,NA,NA,No
597162,11-29-555-05433-597162,karnataka,belgaum,chikodi,,hunnaragi,hunnaragi,215794,Hunnaragi,Gram Panchayat,No,NA,NA,No
597163,11-29-555-05433-597163,karnataka,belgaum,chikodi,,sidnal,sidnal,215833,Sidnal,Gram Panchayat,No,NA,NA,No
597164,11-29-555-05433-597164,karnataka,belgaum,chikodi,,mamadapur kl,mamadapur kl,215816,Mamadapur,Gram Panchayat,No,NA,NA,No
597165,11-29-555-05433-597165,karnataka,belgaum,chikodi,,bhimapurwadi,bhimapurwadi,215791,Galataga,Gram Panchayat,No,NA,NA,Yes
597166,11-29-555-05433-597166,karnataka,belgaum,chikodi,,galatga,galatga,215791,Galataga,Gram Panchayat,No,NA,NA,Yes
597168,11-29-555-05433-597168,karnataka,belgaum,chikodi,,bedkihal,bedkihal,215782,Bedkihal,Gram Panchayat,No,NA,NA,No
597169,11-29-555-05433-597169,karnataka,belgaum,chikodi,,shamanewadi,shamanewadi,215828,Shamanewadi,Gram Panchayat,No,NA,NA,No
597170,11-29-555-05433-597170,karnataka,belgaum,chikodi,,nej,nej,215826,Nej,Gram Panchayat,No,NA,NA,No
597171,11-29-555-05433-597171,karnataka,belgaum,chikodi,,nagaral,nagaral,215821,Nagaral,Gram Panchayat,No,NA,NA,No
597172,11-29-555-05433-597172,karnataka,belgaum,chikodi,,nanadiwadi,nanadiwadi,215824,Nanadi,Gram Panchayat,No,NA,NA,Yes
597173,11-29-555-05433-597173,karnataka,belgaum,chikodi,,nanadi,nanadi,215824,Nanadi,Gram Panchayat,No,NA,NA,Yes
597174,11-29-555-05433-597174,karnataka,belgaum,chikodi,,malikwad,malikwad,215815,Malikawad,Gram Panchayat,No,NA,NA,Yes
597175,11-29-555-05433-597175,karnataka,belgaum,chikodi,,examba,examba,276575,Examba,Town Panchayat,No,NA,NA,NA
597176,11-29-555-05433-597176,karnataka,belgaum,chikodi,,kallol,kallol,215803,Kallol,Gram Panchayat,No,NA,NA,No
597177,11-29-555-05433-597177,karnataka,belgaum,chikodi,,yadyanawadi,yadyanawadi,251811,Chikodi,Town Municipal Council,No,NA,NA,NA
597178,11-29-555-05433-597178,karnataka,belgaum,chikodi,,yadurwadi,yadurwadi,215838,Yadoor,Gram Panchayat,No,NA,NA,Yes
597179,11-29-555-05433-597179,karnataka,belgaum,chikodi,,chandur,chandur,215787,Chandur,Gram Panchayat,No,NA,NA,Yes
597180,11-29-555-05433-597180,karnataka,belgaum,chikodi,,chandur tek,chandur tek,215787,Chandur,Gram Panchayat,No,NA,NA,Yes
597181,11-29-555-05433-597181,karnataka,belgaum,chikodi,,yadur,yadur,215838,Yadoor,Gram Panchayat,No,NA,NA,Yes
597182,11-29-555-05433-597182,karnataka,belgaum,chikodi,,hosa yedur,hosa yedur,215838,Yadoor,Gram Panchayat,No,NA,NA,Yes
597183,11-29-555-05433-597183,karnataka,belgaum,chikodi,,ingali,ingali,215795,Ingali,Gram Panchayat,No,NA,NA,No
597184,11-29-555-05433-597184,karnataka,belgaum,chikodi,,manjari,manjari,215819,Manjari,Gram Panchayat,No,NA,NA,No
597186,11-29-555-05433-597186,karnataka,belgaum,chikodi,,ankali,ankali,215778,Ankali,Gram Panchayat,No,NA,NA,Yes
597187,11-29-555-05433-597187,karnataka,belgaum,chikodi,,shiddapurwadi,shiddapurwadi,215778,Ankali,Gram Panchayat,No,NA,NA,Yes
597188,11-29-555-05433-597188,karnataka,belgaum,chikodi,,kadapur,kadapur,215802,Kadapur,Gram Panchayat,No,NA,NA,No
597189,11-29-555-05433-597189,karnataka,belgaum,chikodi,,jodakurli,jodakurli,215800,Jodakurali,Gram Panchayat,No,NA,NA,No
597190,11-29-555-05433-597190,karnataka,belgaum,chikodi,,kerur,kerur,215807,Kerur,Gram Panchayat,No,NA,NA,Yes
597191,11-29-555-05433-597191,karnataka,belgaum,chikodi,,roopanal,roopanal,215807,Kerur,Gram Panchayat,No,NA,NA,Yes
597192,11-29-555-05433-597192,karnataka,belgaum,chikodi,,hirekudi,hirekudi,215793,Hirekodi,Gram Panchayat,No,NA,NA,No
597193,11-29-555-05433-597193,karnataka,belgaum,chikodi,,chikodi rural,chikodi rural,251811,Chikodi,Town Municipal Council,Yes,215789,Chinchani,Yes
597194,11-29-555-05433-597194,karnataka,belgaum,chikodi,,kuppanawadi,kuppanawadi,215789,Chinchani,Gram Panchayat,No,NA,NA,Yes
597195,11-29-555-05433-597195,karnataka,belgaum,chikodi,,girgaon,girgaon,215831,Shiragoan,Gram Panchayat,No,NA,NA,Yes
597196,11-29-555-05433-597196,karnataka,belgaum,chikodi,,shirgaon,shirgaon,215831,Shiragoan,Gram Panchayat,No,NA,NA,Yes
597197,11-29-555-05433-597197,karnataka,belgaum,chikodi,,shiragaonwadi,shiragaonwadi,215831,Shiragoan,Gram Panchayat,No,NA,NA,Yes
597198,11-29-555-05433-597198,karnataka,belgaum,chikodi,,khadaklat,khadaklat,215808,Khadaklat,Gram Panchayat,No,NA,NA,Yes
597199,11-29-555-05433-597199,karnataka,belgaum,chikodi,,thapakarwadi,thapakarwadi,215808,Khadaklat,Gram Panchayat,No,NA,NA,Yes
597200,11-29-555-05433-597200,karnataka,belgaum,chikodi,,pangire a,pangire a,215788,Chikkalawal,Gram Panchayat,No,NA,NA,Yes
597201,11-29-555-05433-597201,karnataka,belgaum,chikodi,,rampur,rampur,215788,Chikkalawal,Gram Panchayat,No,NA,NA,Yes
597202,11-29-555-05433-597202,karnataka,belgaum,chikodi,,chikalwal,chikalwal,215788,Chikkalawal,Gram Panchayat,No,NA,NA,Yes
597203,11-29-555-05433-597203,karnataka,belgaum,chikodi,,manuchiwadi,manuchiwadi,215808,Khadaklat,Gram Panchayat,No,NA,NA,Yes
597204,11-29-555-05433-597204,karnataka,belgaum,chikodi,,sankanwadi,sankanwadi,215825,Navalihal,Gram Panchayat,No,NA,NA,Yes
597205,11-29-555-05433-597205,karnataka,belgaum,chikodi,,navalihal,navalihal,215825,Navalihal,Gram Panchayat,No,NA,NA,Yes
597206,11-29-555-05433-597206,karnataka,belgaum,chikodi,,peerawadi,peerawadi,215808,Khadaklat,Gram Panchayat,No,NA,NA,Yes
597207,11-29-555-05433-597207,karnataka,belgaum,chikodi,,pattankudi,pattankudi,215827,Pattankudi,Gram Panchayat,No,NA,NA,No
597208,11-29-555-05433-597208,karnataka,belgaum,chikodi,,walki,walki,215837,Walaki,Gram Panchayat,No,NA,NA,No
597209,11-29-555-05433-597209,karnataka,belgaum,chikodi,,yadyanawadi,yadyanawadi,215823,Nainglaj,Gram Panchayat,No,NA,NA,Yes
597210,11-29-555-05433-597210,karnataka,belgaum,chikodi,,nainglaj,nainglaj,215823,Nainglaj,Gram Panchayat,No,NA,NA,Yes
597211,11-29-555-05433-597211,karnataka,belgaum,chikodi,,dhulaganawadi,dhulaganawadi,215823,Nainglaj,Gram Panchayat,No,NA,NA,Yes
597212,11-29-555-05433-597212,karnataka,belgaum,chikodi,,kuthali,kuthali,215825,Navalihal,Gram Panchayat,No,NA,NA,Yes
597213,11-29-555-05433-597213,karnataka,belgaum,chikodi,,kothali,kothali,215811,Kothali,Gram Panchayat,No,NA,NA,No
597214,11-29-555-05433-597214,karnataka,belgaum,chikodi,,chinchani,chinchani,215789,Chinchani,Gram Panchayat,No,NA,NA,Yes
597215,11-29-555-05433-597215,karnataka,belgaum,chikodi,,handyanwadi,handyanwadi,215789,Chinchani,Gram Panchayat,No,NA,NA,Yes
597216,11-29-555-05433-597216,karnataka,belgaum,chikodi,,umrani,umrani,215835,Umarani,Gram Panchayat,No,NA,NA,Yes
597217,11-29-555-05433-597217,karnataka,belgaum,chikodi,,itnal,itnal,215835,Umarani,Gram Panchayat,No,NA,NA,Yes
597218,11-29-555-05433-597218,karnataka,belgaum,chikodi,,nagaramunnoli,nagaramunnoli,215822,Nagarmunoli,Gram Panchayat,No,NA,NA,Yes
597219,11-29-555-05433-597219,karnataka,belgaum,chikodi,,belkud,belkud,215783,Belakud,Gram Panchayat,No,NA,NA,No
597220,11-29-555-05433-597220,karnataka,belgaum,chikodi,,bambalwad,bambalwad,215780,Bambalawad,Gram Panchayat,No,NA,NA,Yes
597221,11-29-555-05433-597221,karnataka,belgaum,chikodi,,kungatolli,kungatolli,215780,Bambalawad,Gram Panchayat,No,NA,NA,Yes
597222,11-29-555-05433-597222,karnataka,belgaum,chikodi,,karoshi,karoshi,215806,Karoshi,Gram Panchayat,No,NA,NA,No
597223,11-29-555-05433-597223,karnataka,belgaum,chikodi,,jainapur,jainapur,215797,Jainapur,Gram Panchayat,No,NA,NA,Yes
597224,11-29-555-05433-597224,karnataka,belgaum,chikodi,,toranahalli,toranahalli,215797,Jainapur,Gram Panchayat,No,NA,NA,Yes
597225,11-29-555-05433-597225,karnataka,belgaum,chikodi,,bidrahalli,bidrahalli,215792,Hattarawat,Gram Panchayat,No,NA,NA,Yes
597226,11-29-555-05433-597226,karnataka,belgaum,chikodi,,hattarwat,hattarwat,215792,Hattarawat,Gram Panchayat,No,NA,NA,Yes
597227,11-29-555-05433-597227,karnataka,belgaum,chikodi,,mangnur,mangnur,215792,Hattarawat,Gram Panchayat,No,NA,NA,Yes
597228,11-29-555-05433-597228,karnataka,belgaum,chikodi,,wadral,wadral,215836,Vadral,Gram Panchayat,No,NA,NA,Yes
597229,11-29-555-05433-597229,karnataka,belgaum,chikodi,,majalatti,majalatti,215836,Vadral,Gram Panchayat,No,NA,NA,Yes
597230,11-29-555-05433-597230,karnataka,belgaum,chikodi,,khajagoudanhatti,khajagoudanhatti,215836,Vadral,Gram Panchayat,No,NA,NA,Yes
597231,11-29-555-05433-597231,karnataka,belgaum,chikodi,,mugali,mugali,215820,Mugali,Gram Panchayat,No,NA,NA,Yes
597232,11-29-555-05433-597232,karnataka,belgaum,chikodi,,kamatyanahatti,kamatyanahatti,215820,Mugali,Gram Panchayat,No,NA,NA,Yes
597233,11-29-555-05433-597233,karnataka,belgaum,chikodi,,bennihalli,bennihalli,215780,Bambalawad,Gram Panchayat,No,NA,NA,Yes
597234,11-29-555-05433-597234,karnataka,belgaum,chikodi,,karagaon,karagaon,215804,Karagaon,Gram Panchayat,No,NA,NA,Yes
597235,11-29-555-05433-597235,karnataka,belgaum,chikodi,,donawad,donawad,215804,Karagaon,Gram Panchayat,No,NA,NA,Yes
597237,11-29-555-05433-597237,karnataka,belgaum,chikodi,,belagali,belagali,215822,Nagarmunoli,Gram Panchayat,No,NA,NA,Yes
597238,11-29-555-05433-597238,karnataka,belgaum,chikodi,,kenchanatti,kenchanatti,251811,Chikodi,Town Municipal Council,No,NA,NA,NA
597239,11-29-555-05433-597239,karnataka,belgaum,chikodi,,meerapurhatti,meerapurhatti,251811,Chikodi,Town Municipal Council,No,NA,NA,NA
597240,11-29-555-05433-597240,karnataka,belgaum,chikodi,,kabbur,kabbur,276483,Kabbur,Town Panchayat,No,NA,NA,NA
597241,11-29-555-05433-597241,karnataka,belgaum,chikodi,,jodatti,jodatti,251811,Chikodi,Town Municipal Council,No,NA,NA,NA
597242,11-29-555-05433-597242,karnataka,belgaum,chikodi,,vijayanagar,vijayanagar,215796,Jagnur,Gram Panchayat,No,NA,NA,Yes
597243,11-29-555-05433-597243,karnataka,belgaum,chikodi,,pogatyanatti,pogatyanatti,215796,Jagnur,Gram Panchayat,No,NA,NA,Yes
597244,11-29-555-05433-597244,karnataka,belgaum,chikodi,,jaganur,jaganur,215796,Jagnur,Gram Panchayat,No,NA,NA,Yes
597245,11-29-555-05433-597245,karnataka,belgaum,chikodi,,mamadapur kk,mamadapur kk,215796,Jagnur,Gram Panchayat,No,NA,NA,Yes
597246,11-29-555-05434-597246,karnataka,belgaum,athni,,pandegaon,pandegaon,215665,Shirur,Gram Panchayat,No,NA,NA,Yes
597247,11-29-555-05434-597247,karnataka,belgaum,athni,,khilegaon,khilegaon,215638,Khelegaon,Gram Panchayat,No,NA,NA,Yes
597248,11-29-555-05434-597248,karnataka,belgaum,athni,,ajur,ajur,215638,Khelegaon,Gram Panchayat,No,NA,NA,Yes
597249,11-29-555-05434-597249,karnataka,belgaum,athni,,anantapur,anantapur,215623,Ananthpur,Gram Panchayat,No,NA,NA,No
597250,11-29-555-05434-597250,karnataka,belgaum,athni,,malabad,malabad,215646,Malabad,Gram Panchayat,No,NA,NA,Yes
597251,11-29-555-05434-597251,karnataka,belgaum,athni,,bevanoor,bevanoor,215646,Malabad,Gram Panchayat,No,NA,NA,Yes
597252,11-29-555-05434-597252,karnataka,belgaum,athni,,tawashi,tawashi,215655,Sambaragi,Gram Panchayat,No,NA,NA,Yes
597253,11-29-555-05434-597253,karnataka,belgaum,athni,,naganur p a,naganur p a,215655,Sambaragi,Gram Panchayat,No,NA,NA,Yes
597254,11-29-555-05434-597254,karnataka,belgaum,athni,,shirur,shirur,215665,Shirur,Gram Panchayat,No,NA,NA,Yes
597255,11-29-555-05434-597255,karnataka,belgaum,athni,,sambaragi,sambaragi,215655,Sambaragi,Gram Panchayat,No,NA,NA,Yes
597256,11-29-555-05434-597256,karnataka,belgaum,athni,,aralihatti,aralihatti,215624,Aralihatti,Gram Panchayat,No,NA,NA,Yes
597257,11-29-555-05434-597257,karnataka,belgaum,athni,,bammanal,bammanal,215624,Aralihatti,Gram Panchayat,No,NA,NA,Yes
597258,11-29-555-05434-597258,karnataka,belgaum,athni,,vishnuvadi,vishnuvadi,273222,Jakkaratti,Gram Panchayat,No,NA,NA,Yes
597259,11-29-555-05434-597259,karnataka,belgaum,athni,,jakkaratti,jakkaratti,273222,Jakkaratti,Gram Panchayat,No,NA,NA,Yes
597260,11-29-555-05434-597260,karnataka,belgaum,athni,,jambagi,jambagi,215631,Jambagi,Gram Panchayat,No,NA,NA,Yes
597261,11-29-555-05434-597261,karnataka,belgaum,athni,,kallotti,kallotti,215631,Jambagi,Gram Panchayat,No,NA,NA,Yes
597262,11-29-555-05434-597262,karnataka,belgaum,athni,,kiranagi,kiranagi,215628,Gundewadi,Gram Panchayat,No,NA,NA,Yes
597263,11-29-555-05434-597263,karnataka,belgaum,athni,,balligeri,balligeri,215626,Balligeri,Gram Panchayat,No,NA,NA,No
597264,11-29-555-05434-597264,karnataka,belgaum,athni,,gundewadi,gundewadi,215628,Gundewadi,Gram Panchayat,No,NA,NA,Yes
597265,11-29-555-05434-597265,karnataka,belgaum,athni,,shivanoor,shivanoor,215631,Jambagi,Gram Panchayat,No,NA,NA,Yes
597266,11-29-555-05434-597266,karnataka,belgaum,athni,,madabhavi,madabhavi,215644,Madhabhavi,Gram Panchayat,No,NA,NA,Yes
597267,11-29-555-05434-597267,karnataka,belgaum,athni,,tevaratti,tevaratti,215644,Madhabhavi,Gram Panchayat,No,NA,NA,Yes
597268,11-29-555-05434-597268,karnataka,belgaum,athni,,siddewadi,siddewadi,273225,Siddewadi,Gram Panchayat,No,NA,NA,No
597269,11-29-555-05434-597269,karnataka,belgaum,athni,,hanamapur,hanamapur,215631,Jambagi,Gram Panchayat,No,NA,NA,Yes
597270,11-29-555-05434-597270,karnataka,belgaum,athni,,agrani ingalgaon,agrani ingalgaon,215654,Parthanahalli,Gram Panchayat,No,NA,NA,Yes
597271,11-29-555-05434-597271,karnataka,belgaum,athni,,abbihal,abbihal,215654,Parthanahalli,Gram Panchayat,No,NA,NA,Yes
597272,11-29-555-05434-597272,karnataka,belgaum,athni,,parthanahalli,parthanahalli,215654,Parthanahalli,Gram Panchayat,No,NA,NA,Yes
597273,11-29-555-05434-597273,karnataka,belgaum,athni,,mavinahatti,mavinahatti,215654,Parthanahalli,Gram Panchayat,No,NA,NA,Yes
597274,11-29-555-05434-597274,karnataka,belgaum,athni,,chamakeri,chamakeri,273221,Chamkeri,Gram Panchayat,No,NA,NA,Yes
597275,11-29-555-05434-597275,karnataka,belgaum,athni,,bedarahatti,bedarahatti,273221,Chamkeri,Gram Panchayat,No,NA,NA,Yes
597276,11-29-555-05434-597276,karnataka,belgaum,athni,,kagawad,kagawad,299331,Kagawada,Town Panchayat,No,NA,NA,NA
597277,11-29-555-05434-597277,karnataka,belgaum,athni,,mangavati,mangavati,215632,Jugul,Gram Panchayat,No,NA,NA,Yes
597278,11-29-555-05434-597278,karnataka,belgaum,athni,,jugul,jugul,215632,Jugul,Gram Panchayat,No,NA,NA,Yes
597279,11-29-555-05434-597279,karnataka,belgaum,athni,,shahapur,shahapur,215632,Jugul,Gram Panchayat,No,NA,NA,Yes
597280,11-29-555-05434-597280,karnataka,belgaum,athni,,shiraguppi,shiraguppi,215663,Shiraguppi,Gram Panchayat,No,NA,NA,No
597281,11-29-555-05434-597281,karnataka,belgaum,athni,,molwad,molwad,215643,Kusnal,Gram Panchayat,No,NA,NA,Yes
597282,11-29-555-05434-597282,karnataka,belgaum,athni,,kusnal,kusnal,215643,Kusnal,Gram Panchayat,No,NA,NA,Yes
597283,11-29-555-05434-597283,karnataka,belgaum,athni,,ugar budruk,ugar budruk,215668,Ugar B K,Gram Panchayat,No,NA,NA,No
597284,11-29-555-05434-597284,karnataka,belgaum,athni,,ugar khurd,ugar khurd,276565,Ugar Khurda,Town Municipal Council,No,NA,NA,NA
597285,11-29-555-05434-597285,karnataka,belgaum,athni,,farida khanawadi,farida khanawadi,276565,Ugar Khurda,Town Municipal Council,No,NA,NA,NA
597286,11-29-555-05434-597286,karnataka,belgaum,athni,,shedbal,shedbal,276579,Shedbala,Town Panchayat,No,NA,NA,NA
597287,11-29-555-05434-597287,karnataka,belgaum,athni,,lokur,lokur,215647,Mangasuli,Gram Panchayat,No,NA,NA,Yes
597288,11-29-555-05434-597288,karnataka,belgaum,athni,,mangasuli,mangasuli,215647,Mangasuli,Gram Panchayat,No,NA,NA,Yes
597289,11-29-555-05434-597289,karnataka,belgaum,athni,,kempwad,kempwad,215637,Kempawad,Gram Panchayat,No,NA,NA,Yes
597290,11-29-555-05434-597290,karnataka,belgaum,athni,,navalihal,navalihal,215637,Kempawad,Gram Panchayat,No,NA,NA,Yes
597291,11-29-555-05434-597291,karnataka,belgaum,athni,,koulgudd,koulgudd,215637,Kempawad,Gram Panchayat,No,NA,NA,Yes
597292,11-29-555-05434-597292,karnataka,belgaum,athni,,mole,mole,215648,Mole,Gram Panchayat,No,NA,NA,Yes
597293,11-29-555-05434-597293,karnataka,belgaum,athni,,katral,katral,215648,Mole,Gram Panchayat,No,NA,NA,Yes
597294,11-29-555-05434-597294,karnataka,belgaum,athni,,ainapur,ainapur,276618,Ainapur,Town Panchayat,No,NA,NA,NA
597295,11-29-555-05434-597295,karnataka,belgaum,athni,,krishna kittur,krishna kittur,215642,Krishna Kittur,Gram Panchayat,No,NA,NA,Yes
597296,11-29-555-05434-597296,karnataka,belgaum,athni,,banajawad,banajawad,215642,Krishna Kittur,Gram Panchayat,No,NA,NA,Yes
597297,11-29-555-05434-597297,karnataka,belgaum,athni,,muragundi,muragundi,215649,Muragundi,Gram Panchayat,No,NA,NA,Yes
597298,11-29-555-05434-597298,karnataka,belgaum,athni,,masarguppi,masarguppi,215649,Muragundi,Gram Panchayat,No,NA,NA,Yes
597299,11-29-555-05434-597299,karnataka,belgaum,athni,,devaradderahatti,devaradderahatti,215656,Athani (Grameen),Gram Panchayat,No,NA,NA,Yes
597301,11-29-555-05434-597301,karnataka,belgaum,athni,,tangadi,tangadi,215666,Tangadi,Gram Panchayat,No,NA,NA,Yes
597302,11-29-555-05434-597302,karnataka,belgaum,athni,,shinal,shinal,215666,Tangadi,Gram Panchayat,No,NA,NA,Yes
597303,11-29-555-05434-597303,karnataka,belgaum,athni,,sankonahatti,sankonahatti,215656,Athani (Grameen),Gram Panchayat,No,NA,NA,Yes
597304,11-29-555-05434-597304,karnataka,belgaum,athni,,hulagabali,hulagabali,215630,Hulagabali,Gram Panchayat,No,NA,NA,No
597305,11-29-555-05434-597305,karnataka,belgaum,athni,,nadi ingalgaon,nadi ingalgaon,215650,Nadi Ingalagaon,Gram Panchayat,No,NA,NA,No
597306,11-29-555-05434-597306,karnataka,belgaum,athni,,teerth,teerth,215657,Saptasagar,Gram Panchayat,No,NA,NA,Yes
597307,11-29-555-05434-597307,karnataka,belgaum,athni,,saptasagar,saptasagar,215657,Saptasagar,Gram Panchayat,No,NA,NA,Yes
597309,11-29-555-05434-597309,karnataka,belgaum,athni,,darur,darur,215627,Darur,Gram Panchayat,No,NA,NA,No
597310,11-29-555-05434-597310,karnataka,belgaum,athni,,halyal,halyal,215629,Halyal,Gram Panchayat,No,NA,NA,No
597311,11-29-555-05434-597311,karnataka,belgaum,athni,,avarkhod,avarkhod,215651,Naganur P K,Gram Panchayat,No,NA,NA,Yes
