villageid,villagename,districtid
595383,Shettynayakana Koppalu,201
595374,,201
153066,,198
651888,,201
159066,,202
157814,,202
651886,,201
148758,Chelairu,195
159490,,203
159772,,203
159822,,203
159489,,203
150597,,198
159691,,203
158163,,202
159730,,203
159798,,203
159823,,203
159825,,203
159934,,203
159991,,203
160025,,203
159333,,203
153128,,198
157828,,202
152517,,198
153262,,198
152266,,198
159997,,203
160015,,203
159065,,202
159509,,203
159090,,202
160301,,203
590015,Hundimala,202
159728,,203
159778,,203
590012,,202
159859,,203
664413,Chamundibetta,202
676017,HOSAMALA,202
664411,Sathagalli,202
159913,,203
159927,,203
159928,,203
664401,Hinkal,202
160063,,203
148738,KUTTETHURU,195
160007,,203
160014,,203
160039,,203
160041,,203
159916,,203
159950,,203
159582,,203
587769,NEERUMARGA,195
153062,,198
674495,PADUSHEDDE,195
159931,,203
159949,,203
153081,,198
160017,,203
153131,,198
160385,,203
152032,,198
152049,,198
153156,,198
159663,,203
159688,,203
159824,,203
151769,,198
159738,,203
159394,,203
159662,,203
159729,,203
159779,,203
159929,,203
159961,,203
159993,,203
152739,Karle Kaval,198
159246,,203
588764,,203
588775,,203
589929,,203
589904,,203
589911,,203
589908,,203
589925,,203
589928,,203
589917,,203
589919,,203
589913,,203
589915,,203
589930,,203
589932,,203
589906,Dibbanakedi {d),203
589923,,203
589902,Lokanaikana Doddi,203
589920,,203
589927,,203
588763,,203
588780,,203
589924,,203
613808,,203
589914,,203
589931,,203
589933,,203
699917,DURG,203
700917,HAMPERGUNDI,203
700924,TAMALGHAT (D),203
696053,ANBALKHED,203
699916,LAXMINARAYANAPURA,203
700918,YERKAMANDODDI,203
692037,MANGI GADDE,203
692040,JAVGUD,203
700923,JOGALDINNI,203
700916,CHAPALKI,203
159936,,203
160353,,203
160470,,203
664359,Parakanatti,189
153139,,198
151240,,198
151265,,198
151308,,198
153200,,198
152031,,198
152033,,198
152265,,198
153118,,198
153201,,198
153235,,198
589400,,198
589396,,198
589440,,198
588819,,198
589402,,198
589427,Srirampura,198
661883,,199
661841,,199
661894,BEERUGA,199
661828,GUDDEHOSURU,199
661862,CHIKKA ALUVARA,199
661864,SIDDALINGAPURA,199
661869,AMBATTI,199
661768,P PERAJE,199
637393,,199
661842,,199
637170,,199
589333,,199
589340,,199
144885,ANANDADEVANAHALLI,822
153385,Sanivarsanthe,199
144900,ANANDADEVANAHALLI,822
0,,190
153589,,199
0,,199
153558,,199
144905,BELAGODU,822
145106,Jodikasanayakanahalli,190
665636,ANEKAL THANDA,822
